state_id	kind	qualified_name	declared_type	source_file	start_line	end_line	source_sha256	behavior	valid_states	mutation	lifetime	sensitive	confidence
V01	parameter	backup::run_post_write::pool	&PgPool	crates/house-substrate/src/backup.rs	703	703	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	Provides the database connection for F02.	valid shared pool	borrowed	one call	no	source_confirmed
V02	parameter	backup::run_post_write::database_url	&str	crates/house-substrate/src/backup.rs	703	703	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	Passes the database URL unchanged to F04.	valid or rejected	borrowed	one call	yes	source_confirmed
V03	local	backup::run_post_write::keep	usize	crates/house-substrate/src/backup.rs	704	707	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	Uses a parsed environment value or three.	0..usize::MAX	assigned once	one call	no	source_confirmed
V04	local	backup::run_post_write::source	Vec<String>	crates/house-substrate/src/backup.rs	708	709	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	Carries normalized migration versions into F04.	known or unknown lineage	moved into F04	one call	no	source_confirmed
V05	environment	SOLARISAEL_BACKUP_KEEP	String	crates/house-substrate/src/backup.rs	704	707	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	Overrides retention when it parses as usize.	missing; invalid; usize text	external	process lifetime	no	source_confirmed
V06	environment	SOLARISAEL_BACKUP_DIR	OsString	crates/house-substrate/src/backup.rs	627	631	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	Overrides the backup directory when nonempty.	missing; empty; nonempty path	external	process lifetime	no	source_confirmed
V07	database	schema_migrations.version	text	crates/house-substrate/src/backup.rs	535	542	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	Supplies the migration lineage for F04.	zero or more strings	external	persistent	no	source_confirmed
V08	request_state	AnamnesisWrite.backup	bool	crates/house-substrate/src/anamnesis.rs	71	72	1f1ecbb80024c9b438a1f5ef48fa89929952cf06e58ec802d9e3f4f554ec6b17	Controls the F01 call in F05.	true; false	immutable	one request	no	source_confirmed
V09	request_state	PaperBoatSleepRequest.backup()	bool	crates/house-substrate/src/paper_boat.rs	64	67	4a8c44ad0558d9cf128c9927f0eb42e1ca562b510b62ca1ee90b8e16e6fbeb19	Carries the explicit paper-boat backup choice.	true; false; caller must provide one	immutable	one request	no	source_confirmed
V10	request_state	RememberRequest.backup	bool	crates/house-substrate/src/remember.rs	78	82	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	Controls F01 calls in F07 and F08.	true; false	immutable	one request	no	source_confirmed
V11	request_state	RememberRequest.kind	String	crates/house-substrate/src/remember.rs	28	28	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	Selects the lesson backup condition in F08.	memory; coding-lesson; project-lesson; writing-lesson; design-lesson; audio-lesson	immutable	one request	no	source_confirmed
V12	derived_state	substrate state backup directory	PathBuf	crates/house-substrate/src/backup.rs	631	631	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	Provides the fallback output path with a backups suffix.	resolved path; resolution error	derived once	one call	no	source_confirmed
