relation_id	from_symbol_id	relation	to_symbol_id	source_file	start_line	end_line	source_sha256	condition	success_effect	error_effect	confidence
R01	F05	calls	F01	crates/house-substrate/src/anamnesis.rs	279	283	1f1ecbb80024c9b438a1f5ef48fa89929952cf06e58ec802d9e3f4f554ec6b17	V08 is true after the transaction commits	Return the receipt without a backup warning.	Append a backup warning and keep the committed write.	source_confirmed
R02	F06	calls	F01	crates/house-substrate/src/paper_boat.rs	62	75	4a8c44ad0558d9cf128c9927f0eb42e1ca562b510b62ca1ee90b8e16e6fbeb19	V09 is true after the transaction commits	Set backup status to Completed.	Set backup status to Failed; append a bounded warning; keep the committed boat.	source_confirmed
R03	F07	calls	F01	crates/house-substrate/src/remember.rs	326	361	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	V10 is true after the memory transaction commits; non-memory requests delegate to F08 before this path	Return the receipt without a backup warning.	Append a backup warning and keep the committed memory.	source_confirmed
R04	F08	calls	F01	crates/house-substrate/src/remember.rs	850	859	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	V10 is true and V11 is project-lesson, audio-lesson, or design-lesson after the transaction commits	Return the receipt without a backup warning.	Append a backup warning and keep the committed lesson.	source_confirmed
R05	F01	calls	F02	crates/house-substrate/src/backup.rs	708	708	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	always	Assign the normalized versions to V04.	Return the query error before directory resolution.	source_confirmed
R06	F01	calls	F03	crates/house-substrate/src/backup.rs	709	709	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	F02 succeeded	Pass the selected path to F04.	Return the state directory error before F04 starts.	source_confirmed
R07	F01	calls	F04	crates/house-substrate/src/backup.rs	709	709	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	F02 and F03 succeeded	Discard the Manifest and return Ok.	Return the BackupError.	source_confirmed
R08	F01	reads	V05	crates/house-substrate/src/backup.rs	704	707	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	always	Set V03 to the parsed usize or three.	No read or parse error propagates.	source_confirmed
R09	F02	reads	V07	crates/house-substrate/src/backup.rs	536	541	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	always	Return normalized version strings.	Map the query error to BackupError::Command.	source_confirmed
R10	F03	reads	V06	crates/house-substrate/src/backup.rs	628	631	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	always	Use a nonempty override or the state backup directory.	Propagate state directory failure when no override exists.	source_confirmed
R11	F01	passes	V01	crates/house-substrate/src/backup.rs	708	708	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	always	F02 receives the shared pool.	\N	source_confirmed
R12	F01	passes	V02	crates/house-substrate/src/backup.rs	709	709	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	F02 and F03 succeeded	F04 receives the database URL.	F04 can reject the URL.	source_confirmed
R13	F01	passes	V03	crates/house-substrate/src/backup.rs	709	709	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	F02 and F03 succeeded	F04 receives the retention count.	F04 rejects zero.	source_confirmed
R14	F01	passes	V04	crates/house-substrate/src/backup.rs	709	709	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	F02 and F03 succeeded	F04 receives ownership of the migration list.	F04 rejects an unknown lineage.	source_confirmed
R15	F07	delegates	F08	crates/house-substrate/src/remember.rs	326	328	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	V11 is not memory	F08 handles the lesson request.	Return the F08 error.	source_confirmed
R16	V08	defaults_from	F09	crates/house-substrate/src/anamnesis.rs	71	72	1f1ecbb80024c9b438a1f5ef48fa89929952cf06e58ec802d9e3f4f554ec6b17	backup is omitted	V08 becomes true.	none	source_confirmed
R17	V10	defaults_from	F09	crates/house-substrate/src/remember.rs	78	82	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	backup is omitted	V10 becomes true.	none	source_confirmed
R18	F05	reads	V08	crates/house-substrate/src/anamnesis.rs	280	281	1f1ecbb80024c9b438a1f5ef48fa89929952cf06e58ec802d9e3f4f554ec6b17	always at the backup gate	Select whether F01 runs.	none	source_confirmed
R19	F06	reads	V09	crates/house-substrate/src/paper_boat.rs	64	67	4a8c44ad0558d9cf128c9927f0eb42e1ca562b510b62ca1ee90b8e16e6fbeb19	always at the backup gate	Select NotRequested or F01.	none	source_confirmed
R20	F07	reads	V10	crates/house-substrate/src/remember.rs	358	359	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	memory path	Select whether F01 runs.	none	source_confirmed
R21	F08	reads	V10	crates/house-substrate/src/remember.rs	852	857	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	lesson path	Join the lesson backup gate.	none	source_confirmed
R22	F08	reads	V11	crates/house-substrate/src/remember.rs	853	857	2218a09cc5e80f63a5eecef1d60576c3a5a04fff0b3c12f991e3430e744ff36b	V10 is true	Allow project, audio, and design lessons to call F01.	Other lesson kinds skip F01.	source_confirmed
R23	F03	resolves_from	V12	crates/house-substrate/src/backup.rs	631	631	4a5aad2964c2fec81ec462f5c1a13557f1f0664577dea73d277019f92a102862	V06 is missing or empty	Use the substrate state backups path.	Propagate state directory failure.	source_confirmed
