artifact	sha256	status	authority	notes
cartographer.json	ce316f0d4cd92d55eaab5a5a7fb697d131a2c7a42ad2769aff83ddb0cdc31870	accepted_by_source_map	candidate	Factual mapper contract v1.2.
coverage-eval.json	cb59cd679bb786d4d5790e073e1f7de0fc08b995b3243529bd295e1a17a5d91e	candidate_unrun	candidate	Single independent coverage check; no semantic judgment.
auditor.json	24b935eedbefd89390e93f4027d7c5bbe22655a2fdd9a2fe40790e9fa1d37a56	accepted_by_trial_audit	candidate	Semantic auditor contract v1.0.
auditor-eval.json	f8e6a75a514b63db22250c5d08e1ef7e92dfee5032e0b6e2cf948254bcd96dd6	accepted_by_trial_audit	candidate	Eight judgments passed structural checks.
lesson-candidate.json	2e6c7737ee95b84074febca652e5ae52c88bd5079c5075927c74e9b5880f5d84	blocked_pending_lessons_organ	candidate	Two-layer replacement for coding lesson 459; PostgreSQL publication not performed.
lesson-446-candidate.json	6f6fe5dbaf41454ef8c9f9caf2fb20574a2d9f5a8aba74a5ddbada1aa4c4c2d6	blocked_pending_lessons_organ	candidate	Generic replacement for coding lesson 446; PostgreSQL publication not performed.
pilots/run-post-write/snapshot.tsv	6c83f442a2e90b557e7d07d4dab3b0e67c6c3ef9255d90cdc3cab46e14a69f9d	accepted_source_map	candidate	Immutable source-only map.
pilots/run-post-write/functions.tsv	9d8e5caa925c30f4c2ef2e8313f76492d6cfe3403800ae4933d13f62f3ee6fda	accepted_source_map	candidate	Nine mapped functions.
pilots/run-post-write/state.tsv	f1b6a552d6318868b3c6839ffeba69169713afccc662bb2f336b2b3554984315	accepted_source_map	candidate	Twelve behavior-bearing state items.
pilots/run-post-write/relations.tsv	f53a45698a99ebb54ca11c5cd88fd9ee2637b17d0d9e8fe9b6540a773e7477d6	accepted_source_map	candidate	Twenty-three in-scope relations.
pilots/run-post-write/audit/expectations.tsv	2f7a3a87e035718f14bcfb569f8e6d9592d0f5cacc009feba794a7715234d2b7	trial_expectations	trial	Eight explicit expectations with named authority.
pilots/run-post-write/audit/judgments.tsv	2000d2e001da8259f19c8c78b12926411e6a8b08c87495a98d037e61f7e61aaf	accepted_trial_audit	trial	Four pass, one fail, three unknown.
pilots/run-post-write/audit/gaps.tsv	c2180549322402ed16e0e2ce885b7b450d1697bf4cf6f916f29cd42a87b89c15	accepted_trial_audit	trial	No map_gap verdicts.
pilots/run-post-write/audit/snapshot.tsv	656e45140b3c4f01ad953f05f63957ec0a69bac2080bd22d177fc417d1eec21d	accepted_trial_audit	trial	Map-only semantic audit receipt.
